2020-02-04 15:56:27 status half-installed libjpeg62-turbo:amd64 1:1.5.1-2
2020-02-04 15:56:27 status unpacked libjpeg62-turbo:amd64 1:1.5.1-2
2020-02-04 15:56:27 status unpacked libjpeg62-turbo:amd64 1:1.5.1-2
2020-02-04 15:56:27 install libjbig0:amd64 <none> 2.1-3.1+b2
2020-02-04 15:56:27 status half-installed libjbig0:amd64 2.1-3.1+b2
2020-02-04 15:56:27 status unpacked libjbig0:amd64 2.1-3.1+b2
2020-02-04 15:56:27 status unpacked libjbig0:amd64 2.1-3.1+b2
2020-02-04 15:56:28 install libtiff5:amd64 <none> 4.0.8-2+deb9u4
2020-02-04 15:56:28 status half-installed libtiff5:amd64 4.0.8-2+deb9u4
2020-02-04 15:56:28 status unpacked libtiff5:amd64 4.0.8-2+deb9u4
2020-02-04 15:56:28 status unpacked libtiff5:amd64 4.0.8-2+deb9u4
2020-02-04 15:56:28 install libbsd0:amd64 <none> 0.8.3-1
2020-02-04 15:56:28 status half-installed libbsd0:amd64 0.8.3-1
2020-02-04 15:56:28 status unpacked libbsd0:amd64 0.8.3-1
2020-02-04 15:56:28 status unpacked libbsd0:amd64 0.8.3-1
2020-02-04 15:56:28 install libxdmcp6:amd64 <none> 1:1.1.2-3
2020-02-04 15:56:28 status half-installed libxdmcp6:amd64 1:1.1.2-3
2020-02-04 15:56:28 status unpacked libxdmcp6:amd64 1:1.1.2-3
2020-02-04 15:56:28 status unpacked libxdmcp6:amd64 1:1.1.2-3
2020-02-04 15:56:28 install libxcb1:amd64 <none> 1.12-1
2020-02-04 15:56:28 status half-installed libxcb1:amd64 1.12-1
2020-02-04 15:56:28 status unpacked libxcb1:amd64 1.12-1
2020-02-04 15:56:28 status unpacked libxcb1:amd64 1.12-1
2020-02-04 15:56:28 install libx11-data:all <none> 2:1.6.4-3+deb9u1
2020-02-04 15:56:28 status half-installed libx11-data:all 2:1.6.4-3+deb9u1
2020-02-04 15:56:28 status unpacked libx11-data:all 2:1.6.4-3+deb9u1
2020-02-04 15:56:29 status unpacked libx11-data:all 2:1.6.4-3+deb9u1
2020-02-04 15:56:29 install libx11-6:amd64 <none> 2:1.6.4-3+deb9u1
2020-02-04 15:56:29 status half-installed libx11-6:amd64 2:1.6.4-3+deb9u1
2020-02-04 15:56:29 status unpacked libx11-6:amd64 2:1.6.4-3+deb9u1
2020-02-04 15:56:29 status unpacked libx11-6:amd64 2:1.6.4-3+deb9u1
2020-02-04 15:56:29 install shared-mime-info:amd64 <none> 1.8-1+deb9u1
2020-02-04 15:56:29 status half-installed shared-mime-info:amd64 1.8-1+deb9u1
2020-02-04 15:56:30 status unpacked shared-mime-info:amd64 1.8-1+deb9u1
2020-02-04 15:56:30 status unpacked shared-mime-info:amd64 1.8-1+deb9u1
2020-02-04 15:56:30 install libgdk-pixbuf2.0-common:all <none> 2.36.5-2+deb9u2
2020-02-04 15:56:30 status half-installed libgdk-pixbuf2.0-common:all 2.36.5-2+deb9u2
2020-02-04 15:56:30 status unpacked libgdk-pixbuf2.0-common:all 2.36.5-2+deb9u2
2020-02-04 15:56:30 status unpacked libgdk-pixbuf2.0-common:all 2.36.5-2+deb9u2
2020-02-04 15:56:30 install libgdk-pixbuf2.0-0:amd64 <none> 2.36.5-2+deb9u2
2020-02-04 15:56:30 status half-installed libgdk-pixbuf2.0-0:amd64 2.36.5-2+deb9u2
2020-02-04 15:56:30 status unpacked libgdk-pixbuf2.0-0:amd64 2.36.5-2+deb9u2
2020-02-04 15:56:30 status unpacked libgdk-pixbuf2.0-0:amd64 2.36.5-2+deb9u2
2020-02-04 15:56:30 install gtk-update-icon-cache:amd64 <none> 3.22.11-1
2020-02-04 15:56:30 status half-installed gtk-update-icon-cache:amd64 3.22.11-1
2020-02-04 15:56:30 status unpacked gtk-update-icon-cache:amd64 3.22.11-1
2020-02-04 15:56:30 status unpacked gtk-update-icon-cache:amd64 3.22.11-1
2020-02-04 15:56:30 install libpixman-1-0:amd64 <none> 0.34.0-1
2020-02-04 15:56:30 status half-installed libpixman-1-0:amd64 0.34.0-1
2020-02-04 15:56:31 status unpacked libpixman-1-0:amd64 0.34.0-1
2020-02-04 15:56:31 status unpacked libpixman-1-0:amd64 0.34.0-1
2020-02-04 15:56:31 install libxcb-render0:amd64 <none> 1.12-1
2020-02-04 15:56:31 status half-installed libxcb-render0:amd64 1.12-1
2020-02-04 15:56:31 status unpacked libxcb-render0:amd64 1.12-1
2020-02-04 15:56:31 status unpacked libxcb-render0:amd64 1.12-1
2020-02-04 15:56:31 install libxcb-shm0:amd64 <none> 1.12-1
2020-02-04 15:56:31 status half-installed libxcb-shm0:amd64 1.12-1
2020-02-04 15:56:31 status unpacked libxcb-shm0:amd64 1.12-1
2020-02-04 15:56:31 status unpacked libxcb-shm0:amd64 1.12-1
2020-02-04 15:56:31 install libxext6:amd64 <none> 2:1.3.3-1+b2
2020-02-04 15:56:31 status half-installed libxext6:amd64 2:1.3.3-1+b2
2020-02-04 15:56:31 status unpacked libxext6:amd64 2:1.3.3-1+b2
2020-02-04 15:56:31 status unpacked libxext6:amd64 2:1.3.3-1+b2
2020-02-04 15:56:31 install libxrender1:amd64 <none> 1:0.9.10-1
2020-02-04 15:56:31 status half-installed libxrender1:amd64 1:0.9.10-1
2020-02-04 15:56:31 status unpacked libxrender1:amd64 1:0.9.10-1
2020-02-04 15:56:31 status unpacked libxrender1:amd64 1:0.9.10-1
2020-02-04 15:56:31 install libcairo2:amd64 <none> 1.14.8-1
2020-02-04 15:56:31 status half-installed libcairo2:amd64 1.14.8-1
2020-02-04 15:56:32 status unpacked libcairo2:amd64 1.14.8-1
2020-02-04 15:56:32 status unpacked libcairo2:amd64 1.14.8-1
2020-02-04 15:56:32 install libcroco3:amd64 <none> 0.6.11-3
2020-02-04 15:56:32 status half-installed libcroco3:amd64 0.6.11-3
2020-02-04 15:56:32 status unpacked libcroco3:amd64 0.6.11-3
2020-02-04 15:56:32 status unpacked libcroco3:amd64 0.6.11-3
2020-02-04 15:56:32 install libthai-data:all <none> 0.1.26-1
2020-02-04 15:56:32 status half-installed libthai-data:all 0.1.26-1
2020-02-04 15:56:32 status unpacked libthai-data:all 0.1.26-1
2020-02-04 15:56:32 status unpacked libthai-data:all 0.1.26-1
2020-02-04 15:56:32 install libdatrie1:amd64 <none> 0.2.10-4+b1
2020-02-04 15:56:32 status half-installed libdatrie1:amd64 0.2.10-4+b1
2020-02-04 15:56:32 status unpacked libdatrie1:amd64 0.2.10-4+b1
2020-02-04 15:56:32 status unpacked libdatrie1:amd64 0.2.10-4+b1
2020-02-04 15:56:32 install libthai0:amd64 <none> 0.1.26-1
2020-02-04 15:56:32 status half-installed libthai0:amd64 0.1.26-1
2020-02-04 15:56:32 status unpacked libthai0:amd64 0.1.26-1
2020-02-04 15:56:32 status unpacked libthai0:amd64 0.1.26-1
2020-02-04 15:56:32 install libpango-1.0-0:amd64 <none> 1.40.5-1
2020-02-04 15:56:32 status half-installed libpango-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:32 status unpacked libpango-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:32 status unpacked libpango-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:32 install libgraphite2-3:amd64 <none> 1.3.10-1
2020-02-04 15:56:32 status half-installed libgraphite2-3:amd64 1.3.10-1
2020-02-04 15:56:33 status unpacked libgraphite2-3:amd64 1.3.10-1
2020-02-04 15:56:33 status unpacked libgraphite2-3:amd64 1.3.10-1
2020-02-04 15:56:33 install libharfbuzz0b:amd64 <none> 1.4.2-1
2020-02-04 15:56:33 status half-installed libharfbuzz0b:amd64 1.4.2-1
2020-02-04 15:56:33 status unpacked libharfbuzz0b:amd64 1.4.2-1
2020-02-04 15:56:33 status unpacked libharfbuzz0b:amd64 1.4.2-1
2020-02-04 15:56:33 install libpangoft2-1.0-0:amd64 <none> 1.40.5-1
2020-02-04 15:56:33 status half-installed libpangoft2-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:33 status unpacked libpangoft2-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:33 status unpacked libpangoft2-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:33 install libpangocairo-1.0-0:amd64 <none> 1.40.5-1
2020-02-04 15:56:33 status half-installed libpangocairo-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:33 status unpacked libpangocairo-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:33 status unpacked libpangocairo-1.0-0:amd64 1.40.5-1
2020-02-04 15:56:33 install librsvg2-2:amd64 <none> 2.40.16-1+b1
2020-02-04 15:56:33 status half-installed librsvg2-2:amd64 2.40.16-1+b1
2020-02-04 15:56:33 status unpacked librsvg2-2:amd64 2.40.16-1+b1
2020-02-04 15:56:33 status unpacked librsvg2-2:amd64 2.40.16-1+b1
2020-02-04 15:56:33 install librsvg2-common:amd64 <none> 2.40.16-1+b1
2020-02-04 15:56:33 status half-installed librsvg2-common:amd64 2.40.16-1+b1
2020-02-04 15:56:33 status unpacked librsvg2-common:amd64 2.40.16-1+b1
2020-02-04 15:56:33 status unpacked librsvg2-common:amd64 2.40.16-1+b1
2020-02-04 15:56:34 install adwaita-icon-theme:all <none> 3.22.0-1+deb9u1
2020-02-04 15:56:34 status half-installed adwaita-icon-theme:all 3.22.0-1+deb9u1
2020-02-04 15:56:41 status unpacked adwaita-icon-theme:all 3.22.0-1+deb9u1
2020-02-04 15:56:41 status unpacked adwaita-icon-theme:all 3.22.0-1+deb9u1
2020-02-04 15:56:41 install openssl:amd64 <none> 1.1.0l-1~deb9u1
2020-02-04 15:56:41 status half-installed openssl:amd64 1.1.0l-1~deb9u1
2020-02-04 15:56:41 status unpacked openssl:amd64 1.1.0l-1~deb9u1
